name,room,date,time
2HR Drug & Alcohol Awareness,221,6/30/2021,4:00 PM
32HR Scaffold,252,6/30/2021,4:00 PM
4HR Scaffold,248,6/30/2021,4:00 PM
4HR SST Bundle,227,6/30/2021,4:00 PM
Floor Covering,233,6/30/2021,4:00 PM
OSHA 30,222,6/30/2021,4:30 PM
Sexual Harassment Prevention,236,6/30/2021,4:30 PM
Welding,16,6/30/2021,4:30 PM
32HR Scaffold,252,7/1/2021,4:00 PM
8HR Fall Protection,236,7/1/2021,4:00 PM
CPR/AED,248,7/1/2021,4:30 PM
OSHA 30,222,7/1/2021,4:30 PM
Welding,16,7/1/2021,4:30 PM
32HR Scaffold,252,7/6/2021,4:00 PM
First Aid,221,7/6/2021,4:30 PM
First Aid/CPR (BA),222,7/6/2021,7:30 AM
OSHA 30,222,7/6/2021,4:30 PM
Welding,16,7/6/2021,4:30 PM
2HR Drug & Alcohol Awareness,236,7/7/2021,4:00 PM
32HR Scaffold,252,7/7/2021,4:00 PM
8HR Fall Protection,227,7/7/2021,4:00 PM
First Aid/CPR (BA),222,7/7/2021,7:30 AM
OSHA 30,222,7/7/2021,4:30 PM
Welding,16,7/7/2021,4:30 PM
32HR Scaffold,252,7/8/2021,4:00 PM
4HR Scaffold,236,7/8/2021,7:00 AM
8HR Fall Protection,227,7/8/2021,4:00 PM
CPR,221,7/8/2021,4:30 PM
First Aid/CPR (BA),222,7/8/2021,7:30 AM
OSHA 30,222,7/8/2021,4:30 PM
Welding,16,7/8/2021,4:30 PM
32HR Scaffold,252,7/10/2021,6:30 AM
8HR Fall Protection,227,7/10/2021,6:30 AM
First Aid,221,7/10/2021,7:00 AM
OSHA 30,222,7/10/2021,7:00 AM
Welding,16,7/10/2021,7:00 AM
4HR SST Bundle,236,7/13/2021,4:00 PM
8HR Fall Protection,227,7/13/2021,4:00 PM
First Aid,221,7/13/2021,4:30 PM
Welding,16,7/13/2021,4:30 PM
4HR Scaffold,245,7/14/2021,4:00 PM
8HR Fall Protection,227,7/14/2021,4:00 PM
Welding,16,7/14/2021,4:30 PM
4HR Hazard Comm.,253,7/15/2021,4:30 PM
CPR/AED,236,7/15/2021,4:30 PM
Welding,16,7/15/2021,4:30 PM
OSHA 30,222,7/20/2021,4:30 PM
8HR Fall Protection,227,7/20/2021,4:30 PM
First Aid,236,7/20/2021,4:30 PM
32HR Scaffold,252,7/20/2021,4:30 PM
Welding,16,7/20/2021,4:30 PM
OSHA 30,222,7/21/2021,4:30 PM
8HR Fall Protection,227,7/21/2021,4:30 PM
32HR Scaffold,252,7/21/2021,4:30 PM
Welding,16,7/21/2021,4:30 PM
Sexual Harass. Prev.,236,7/21/2021,4:30 PM
CPR/AED,221,7/22/2021,4:30 PM
Silica Awareness,236,7/22/2021,4:30 PM
OSHA 30,222,7/22/2021,4:30 PM
32HR Scaffold,252,7/22/2021,4:30 PM
Welding,16,7/22/2021,4:30 PM
8HR Fall Protection,227,7/23/2021,6:00 AM
8HR Scaffold,253,7/23/2021,6:00 AM
8HR Chapter 33,221,7/23/2021,6:00 AM
8HR SST Bundle,236,7/23/2021,6:00 AM
Aerial Lift (MEWP),248,7/23/2021,6:00 AM
OSHA 30,222,7/23/2021,6:00 AM
32HR Scaffold,252,7/23/2021,6:00 AM
Welding,16,7/23/2021,6:00 AM
